Date,open,high,low,Close,tick_volume,spread,real_volume,ER,R2,Raw,DMSI,TrendLevel,RangeLevel,RegimeHist,Regime,WarmupBars,Converged
2023-07-29 05:00:00,478402.3,478721.38,478202.13,478609.52,300,2847,0,0.45186055846391165,0.44289241366341303,44.73764860636623,65.08964302693143,67.51600904266162,39.810795630663456,11.426240690268884,Transition,331378.0,True
2023-07-29 05:05:00,478599.02,478693.35,478097.85,478109.04,300,2847,0,0.5156611169865638,0.3686850897535848,44.21731033700743,62.27223235530451,67.51600904266162,39.810795630663456,8.608830018641967,Transition,331379.0,True
2023-07-29 05:10:00,478145.1,478242.41,477942.38,478063.34,300,2847,0,0.48729216211729826,0.2919957545757019,38.96439583465001,59.41911723432543,67.51600904266162,39.810795630663456,5.755714897662884,Transition,331380.0,True
2023-07-29 05:15:00,478061.94,478081.26,476862.38,476879.29,300,2847,0,0.5093432986631673,0.2943279356753141,40.18356171692407,56.87752653835781,67.51600904266162,39.810795630663456,3.2141242016952702,Transition,331381.0,True
2023-07-29 05:20:00,476906.72,477264.76,476610.73,477201.96,300,2847,0,0.38807858631840175,0.2932288282391937,34.065370727879774,54.97791269955068,67.51600904266162,39.810795630663456,1.3145103628881358,Transition,331382.0,True
2023-07-29 05:25:00,477202.25,477598.13,477026.68,477598.13,300,2847,0,0.2895466078532212,0.2522920590225842,27.091933343790274,53.53226107364539,67.51600904266162,39.810795630663456,-0.131141263017156,Transition,331383.0,True
2023-07-29 05:30:00,477605.8,477948.04,477483.88,477700.59,300,2847,0,0.24211866728991377,0.20187081605023116,22.199474167007246,52.299142843771676,67.51600904266162,39.810795630663456,-1.3642594928908665,Transition,331384.0,True
2023-07-29 05:35:00,477700.87,478012.2,477387.36,477853.74,300,2847,0,0.20316689021372683,0.12873410457997292,16.595049739684985,51.21425450346604,67.51600904266162,39.83977526729411,-2.4636376515118315,Transition,331385.0,True
2023-07-29 05:40:00,477815.96,477917.12,477548.61,477616.16,300,2847,0,0.1225769829144856,0.14947114920007043,13.6024066057278,50.63108245945239,67.51600904266162,39.95176203634911,-3.102803080052979,Transition,331386.0,True
2023-07-29 05:45:00,477636.74,477780.94,477481.29,477755.29,300,2847,0,0.004686261477954009,0.23045407480022473,11.757016813908937,50.527272548474556,67.51600904266162,40.57166511460724,-3.516564530159876,Transition,331387.0,True
2023-07-29 05:50:00,477751.03,477905.11,477262.71,477446.79,300,2847,0,0.06901641640419498,0.35667575401132856,21.284608520776178,50.28284803473509,67.51600904266162,40.83794116870187,-3.8941270709466593,Transition,331388.0,True
2023-07-29 05:55:00,477452.77,477767.64,477328.21,477737.08,300,2847,0,0.010536432990921262,0.46171408455135843,23.612525877113985,50.201314912412826,67.51600904266162,40.85777330825082,-3.9855762630433986,Transition,331389.0,True
